Sheet1$.F1,编号,企业名称,企业地址,企业类别,location,coordinates,X,Y
,693,浙江至宝电机科技有限公司,浙江省湖州市德清县雷甸镇通用航空产业园36号（莫干山国家高新区）,D,,,,
,695,浙江捷玉日化有限公司,浙江省德清县新市镇新城路169号,D,,,,
,696,德清县伟泽织造有限公司,浙江省湖州市德清县新安镇下舍孟家山南路7号1号楼2层,D,,,,
,697,湖州思泉防护用品有限公司,浙江省湖州市德清县禹越镇中塔南路138号2号厂房,D,,,,
,698,浙江飞航智能科技有限公司,浙江省湖州市德清县雷甸镇通用航空产业园启航路1号856室(莫干山国家高新区),D,,,,
,700,德清致联纺织品有限公司,浙江省湖州市德清县禹越镇振兴西路666号,D,,,,
,704,杭实科技发展（德清）有限公司,浙江省湖州市德清县禹越镇中塔南路217号,D,,,,
,705,浙江德丽纺织科技有限公司,浙江省湖州市德清县新市镇工业园区,D,,,,
,708,浙江双林桐福机械有限公司,浙江省湖州市德清县禹越镇镇西南路111号15号楼201室,D,,,,
,709,浙江永元机械有限公司,浙江省湖州市德清县雷甸镇乔莫南路1号博雷厂区2号车间-1区块,D,,,,
,711,浙江中孚空气处理设备有限公司,浙江省湖州市德清县雷甸镇通用航空产业园（莫干山国家高新区）,D,,,,
,712,浙江星安印业有限公司,浙江省湖州市德清县新安镇裕安路551号,D,,,,
,715,浙江德清金乾新材料有限公司,德清县雷甸镇明珠大道168号,D,,,,
,716,浙江宏杰包装材料科技有限公司,浙江省湖州市德清县新安镇新安大道317号,D,,,,
,717,德清鸿顺化纤有限公司,浙江省湖州市德清县新安镇华姿路8号,D,,,,
,726,浙江造辉新材料有限公司（曾用名：德清县正德纸制品有限公司）,德清县新安镇百富兜村,D,,,,
,727,德清科力达包装材料科技有限公司,浙江省德清县新市镇工业园区,D,,,,
,728,德清麦特生物有限公司,德清县雷甸镇和平村,D,,,,
,729,浙江中品智能科技有限公司,浙江省湖州市德清县雷甸镇工业区（武林头）,D,,,,
,732,浙江钱玖钢结构有限公司,德清县禹越镇星河路66号,D,,,,
,733,德清古尔钢琴有限公司,浙江省湖州市德清县钟管镇戈亭村,D,,,,
